batch,job,name,seed,best_discrete,final_discrete,soft_full,hash_match
85,3,overnight_b085_j3,12503,9.87834644317627,38.9528694152832,0.3048169016838074,False
85,4,overnight_b085_j4,12504,0.8311703205108643,57.686317443847656,0.36494800448417664,False
86,1,overnight_b086_j1,12601,0.7041204571723938,0.9591089487075806,0.38855209946632385,False
86,2,overnight_b086_j2,12602,15.00234603881836,32.31169128417969,0.3990022838115692,False
86,3,overnight_b086_j3,12603,3.1693148612976074,31.605724334716797,0.34935805201530457,False
86,4,overnight_b086_j4,12604,1.6882284879684448,16.652061462402344,0.32817432284355164,False
87,1,overnight_b087_j1,12701,0.7317400574684143,6.077525615692139,0.38713645935058594,False
87,2,overnight_b087_j2,12702,1.3043330907821655,70.7474365234375,0.45836082100868225,False
87,3,overnight_b087_j3,12703,41.87705612182617,79.3606948852539,0.3315916657447815,False
87,4,overnight_b087_j4,12704,1.9476872682571411,8.648571014404297,0.33251795172691345,False
88,1,overnight_b088_j1,12801,12.123150825500488,27.021156311035156,0.4411674737930298,False
88,2,overnight_b088_j2,12802,9.922182083129883,26.13741111755371,0.4471246600151062,False
88,3,overnight_b088_j3,12803,2.178621530532837,24.147573471069336,0.33420464396476746,False
88,4,overnight_b088_j4,12804,17.556625366210938,38.05461502075195,0.31954091787338257,False
89,1,overnight_b089_j1,12901,3.43872332572937,7.628571510314941,0.35540610551834106,False
89,2,overnight_b089_j2,12902,7.095248222351074,17.796524047851562,0.38234612345695496,False
89,3,overnight_b089_j3,12903,22.13160514831543,3.2832319736480713,0.3296508193016052,False
89,4,overnight_b089_j4,12904,6.0135931968688965,16.223983764648438,0.36166706681251526,False
90,1,overnight_b090_j1,13001,1.1083170175552368,20.63697624206543,0.39605334401130676,False
90,2,overnight_b090_j2,13002,32.41697311401367,67.42144012451172,0.49040359258651733,False
90,3,overnight_b090_j3,13003,39.9873161315918,122.633056640625,0.37976449728012085,False
90,4,overnight_b090_j4,13004,11.758323669433594,95.22427368164062,0.3560219705104828,False
91,1,overnight_b091_j1,13101,5.0394487380981445,60.80861282348633,0.4007605016231537,False
91,2,overnight_b091_j2,13102,8.258008003234863,15.887146949768066,0.4576641619205475,False
91,3,overnight_b091_j3,13103,24.41684341430664,46.06258010864258,0.36174944043159485,False
91,4,overnight_b091_j4,13104,4.888678550720215,196.17935180664062,0.3072381615638733,False
